frei	freier	freisten
schimmelig	schimmeliger	schimmeligsten
schimmelig	schimmeliger	schimmeligsten
holzig	holziger	holzigsten
schleimig	schleimiger	schleimigsten
milchig	milchiger	milchigsten
milchig	milchiger	milchigsten
saftig	saftiger	saftigsten
steinig	steiniger	steinigsten
haarig	haariger	haarigsten
silbrig	silbriger	silbrigsten
silbrig	silbriger	silbrigsten
gelblich	gelblicher	gelblichsten
grünlich	grünlicher	grünlichsten
bläulich	bläulicher	bläulichsten
bräunlich	bräunlicher	bräunlichsten
gräulich	gräulicher	gräulichsten
blumig	blumiger	blumigsten
fleischig	fleischiger	fleischigsten
fleckig	fleckiger	fleckigsten
würzig	würziger	würzigsten
unbequem	unbequemer	unbequemsten
deliziös	deliziöser	deliziösesten
forsch	forscher	forschesten
forsch	forscher	forschesten
wirklich	wirklicher	wirklichsten
gigantisch	gigantischer	gigantischsten
dogmatisch	dogmatischer	dogmatischsten
manisch	manischer	manischsten
ruhelos	ruheloser	ruhelosesten
ruhelos	ruheloser	ruhelosesten
unruhig	unruhiger	unruhigsten
freiwillig	freiwilliger	freiwilligsten
unfreiwillig	unfreiwilliger	unfreiwilligsten
kulant	kulanter	kulantesten
irregulär	irregulärer	irregulärsten
regulär	regulärer	regulärsten
mittellos	mittelloser	mittellosesten
salopp	salopper	saloppsten
markant	markanter	markantesten
prüde	prüder	prüdesten
privilegiert	privilegierter	privilegiertesten
scharfsinnig	scharfsinniger	scharfsinnigsten
bärtig	bärtiger	bärtigsten
ritterlich	ritterlicher	ritterlichsten
lebendig	lebendiger	lebendigsten
fabelhaft	fabelhafter	fabelhaftesten
märchenhaft	märchenhafter	märchenhaftesten
sagenhaft	sagenhafter	sagenhaftesten
proprietär	proprietärer	proprietärsten
passabel	passabler	passabelsten
prekär	prekärer	prekärsten
rhetorisch	rhetorischer	rhetorischsten
übergewichtig	übergewichtiger	übergewichtigsten
liebenswert	liebenswerter	liebenswertesten
liebenswert	liebenswerter	liebenswertesten
brennbar	brennbarer	brennbarsten
taktlos	taktloser	taktlosesten
taktlos	taktloser	taktlosesten
resolut	resoluter	resolutesten
kokett	koketter	kokettesten
miserabel	miserabler	miserabelsten
erbärmlich	erbärmlicher	erbärmlichsten
jämmerlich	jämmerlicher	jämmerlichsten
kitschig	kitschiger	kitschigsten
modisch	modischer	modischsten
ärmlich	ärmlicher	ärmlichsten
erklecklich	erklecklicher	erklecklichsten
erklecklich	erklecklicher	erklecklichsten
finanzschwach	finanzschwächer	finanzschwächsten
finanzschwach	finanzschwächer	finanzschwächsten
magisch	magischer	magischsten
verzweifelt	verzweifelter	verzweifeltsten
nervös	nervöser	nervösesten
größenwahnsinnig	größenwahnsinniger	größenwahnsinnigsten
schikanös	schikanöser	schikanösesten
schikanös	schikanöser	schikanösesten
neugierig	neugieriger	neugierigsten
revanchistisch	revanchistischer	revanchistischsten
revanchistisch	revanchistischer	revanchistischsten
routinemäßig	routinemäßiger	routinemäßigsten
routinemäßig	routinemäßiger	routinemäßigsten
routiniert	routinierter	routiniertesten
sandig	sandiger	sandigsten
veraltet	veralteter	veraltetsten
kompatibel	kompatibler	kompatibelsten
inkompatibel	inkompatibler	inkompatibelsten
inkompatibel	inkompatibler	inkompatibelsten
diszipliniert	disziplinierter	diszipliniertesten
stoisch	stoischer	stoischsten
beengt	beengter	beengtesten
beengt	beengter	beengtesten
hysterisch	hysterischer	hysterischsten
kompakt	kompakter	kompaktesten
patriotisch	patriotischer	patriotischsten
pazifistisch	pazifistischer	pazifistischsten
pazifistisch	pazifistischer	pazifistischsten
synthetisch	synthetischer	synthetischsten
mikroskopisch	mikroskopischer	mikroskopischsten
idealistisch	idealistischer	idealistischsten
gesetzeswidrig	gesetzeswidriger	gesetzeswidrigsten
gesetzwidrig	gesetzwidriger	gesetzwidrigsten
greisenhaft	greisenhafter	greisenhaftesten
senil	seniler	senilsten
dement	dementer	dementesten
unterlegen	unterlegener	unterlegensten
gierig	gieriger	gierigsten
selbstsüchtig	selbstsüchtiger	selbstsüchtigsten
egoistisch	egoistischer	egoistischsten
pointiert	pointierter	pointiertesten
kaltblütig	kaltblütiger	kaltblütigsten
kümmerlich	kümmerlicher	kümmerlichsten
kümmerlich	kümmerlicher	kümmerlichsten
aphoristisch	aphoristischer	aphoristischsten
aphoristisch	aphoristischer	aphoristischsten
wirr	wirrer	wirrsten
verwirrt	verwirrter	verwirrtesten
gefräßig	gefräßiger	gefräßigsten
findig	findiger	findigsten
halsabschneiderisch	halsabschneiderischer	halsabschneiderischsten
halsabschneiderisch	halsabschneiderischer	halsabschneiderischsten
streitlustig	streitlustiger	streitlustigsten
gehemmt	gehemmter	gehemmtesten
hemmungslos	hemmungsloser	hemmungslosesten
kritiklos	kritikloser	kritiklosesten
kritiklos	kritikloser	kritiklosesten
unkritisch	unkritischer	unkritischsten
martialisch	martialischer	martialischsten
berühmt	berühmter	berühmtesten
zimperlich	zimperlicher	zimperlichsten
konkav	konkaver	konkavsten
kostbar	kostbarer	kostbarsten
sachdienlich	sachdienlicher	sachdienlichsten
revolutionär	revolutionärer	revolutionärsten
ärgerlich	ärgerlicher	ärgerlichsten
leidig	leidiger	leidigsten
unangenehm	unangenehmer	unangenehmsten
angenehm	angenehmer	angenehmsten
bedauerlich	bedauerlicher	bedauerlichsten
desolat	desolater	desolatesten
unverständlich	unverständlicher	unverständlichsten
umständlich	umständlicher	umständlichsten
langatmig	langatmiger	langatmigsten
despotisch	despotischer	despotischsten
unbelehrbar	unbelehrbarer	unbelehrbarsten
unbelehrbar	unbelehrbarer	unbelehrbarsten
minimalistisch	minimalistischer	minimalistischsten
zahlreich	zahlreicher	zahlreichsten
rosig	rosiger	rosigsten
rosig	rosiger	rosigsten
untreu	untreuer	untreusten
untreu	untreuer	untreusten
ungläubig	ungläubiger	ungläubigsten
getreu	getreuer	getreusten
selbstlos	selbstloser	selbstlosesten
selbstlos	selbstloser	selbstlosesten
altruistisch	altruistischer	altruistischsten
fatalistisch	fatalistischer	fatalistischsten
fatalistisch	fatalistischer	fatalistischsten
schicksalsergeben	schicksalsergebener	schicksalsergebensten
schicksalsergeben	schicksalsergebener	schicksalsergebensten
schicksalhaft	schicksalhafter	schicksalhaftesten
spekulativ	spekulativer	spekulativsten
unwiderstehlich	unwiderstehlicher	unwiderstehlichsten
umweltfreundlich	umweltfreundlicher	umweltfreundlichsten
episch	epischer	epischsten
anomal	anomaler	anomalsten
sesshaft	sesshafter	sesshaftesten
blauäugig	blauäugiger	blauäugigsten
dreckig	dreckiger	dreckigsten
genmanipuliert	genmanipulierter	genmanipuliertesten
säkular	säkularer	säkularsten
ekstatisch	ekstatischer	ekstatischsten
sozialistisch	sozialistischer	sozialistischsten
faschistisch	faschistischer	faschistischsten
anarchistisch	anarchistischer	anarchistischsten
karnevalistisch	karnevalistischer	karnevalistischsten
karnevalistisch	karnevalistischer	karnevalistischsten
zornig	zorniger	zornigsten
hitzebeständig	hitzebeständiger	hitzebeständigsten
kryptisch	kryptischer	kryptischsten
verschlüsselt	verschlüsselter	verschlüsselsten
mürrisch	mürrischer	mürrischsten
unpersönlich	unpersönlicher	unpersönlichsten
unmenschlich	unmenschlicher	unmenschlichsten
unaussprechlich	unaussprechlicher	unaussprechlichsten
unbestreitbar	unbestreitbarer	unbestreitbarsten
unbestreitbar	unbestreitbarer	unbestreitbarsten
unnatürlich	unnatürlicher	unnatürlichsten
übernatürlich	übernatürlicher	übernatürlichsten
einfältig	einfältiger	einfältigsten
kurios	kurioser	kuriosesten
lobenswert	lobenswerter	lobenswertesten
löblich	löblicher	löblichsten
löblich	löblicher	löblichsten
hitzköpfig	hitzköpfiger	hitzköpfigsten
entfernt	entfernter	entferntesten
narzisstisch	narzisstischer	narzisstischsten
gebunden	gebundener	gebundensten
tierlieb	tierlieber	tierliebsten
seelenlos	seelenloser	seelenlosesten
entschlussfreudig	entschlussfreudiger	entschlussfreudigsten
entschlussfreudig	entschlussfreudiger	entschlussfreudigsten
entscheidend	entscheidender	entscheidendsten
hieroglyphisch	hieroglyphischer	hieroglyphischsten
hieroglyphisch	hieroglyphischer	hieroglyphischsten
mysteriös	mysteriöser	mysteriösesten
unberechenbar	unberechenbarer	unberechenbarsten
unberechenbar	unberechenbarer	unberechenbarsten
berechenbar	berechenbarer	berechenbarsten
besessen	besessener	besessensten
zügig	zügiger	zügigsten
zugig	zugiger	zugigsten
brüsk	brüsker	brüskesten
geizig	geiziger	geizigsten
paradiesisch	paradiesischer	paradiesischsten
paradiesisch	paradiesischer	paradiesischsten
defätistisch	defätistischer	defätistischsten
bestechlich	bestechlicher	bestechlichsten
surrealistisch	surrealistischer	surrealistischsten
rasant	rasanter	rasantesten
gefährlich	gefährlicher	gefährlichsten
schwielig	schwieliger	schwieligsten
gefühllos	gefühlloser	gefühllosesten
bürokratisch	bürokratischer	bürokratischsten
ruhmvoll	ruhmvoller	ruhmvollsten
appetitanregend	appetitanregender	appetitanregendsten
appetitanregend	appetitanregender	appetitanregendsten
ungestüm	ungestümer	ungestümsten
ungezogen	ungezogener	ungezogensten
ungezogen	ungezogener	ungezogensten
ökonomisch	ökonomischer	ökonomischsten
nachdenklich	nachdenklicher	nachdenklichsten
nachdenklich	nachdenklicher	nachdenklichsten
zähflüssig	zähflüssiger	zähflüssigsten
klebrig	klebriger	klebrigsten
sportlich	sportlicher	sportlichsten
nachsichtig	nachsichtiger	nachsichtigsten
mütterlich	mütterlicher	mütterlichsten
väterlich	väterlicher	väterlichsten
unklar	unklarer	unklarsten
ratlos	ratloser	ratlosesten
ratsam	ratsamer	ratsamsten
ratsam	ratsamer	ratsamsten
launisch	launischer	launischsten
launenhaft	launenhafter	launenhaftesten
konformistisch	konformistischer	konformistischsten
konformistisch	konformistischer	konformistischsten
nonkonformistisch	nonkonformistischer	nonkonformistischsten
nonkonformistisch	nonkonformistischer	nonkonformistischsten
spendabel	spendabler	spendabelsten
frappierend	frappierender	frappierendsten
aalglatt	aalglatter	aalglattesten
rostig	rostiger	rostigsten
stürmisch	stürmischer	stürmischsten
wolkig	wolkiger	wolkigsten
neblig	nebliger	nebligsten
rechtschaffen	rechtschaffener	rechtschaffensten
selbstgerecht	selbstgerechter	selbstgerechtesten
selbstgerecht	selbstgerechter	selbstgerechtesten
fruchtlos	fruchtloser	fruchtlosesten
fruchtlos	fruchtloser	fruchtlosesten
heißblütig	heißblütiger	heißblütigsten
fies	fieser	fiesesten
ausgemergelt	ausgemergelter	ausgemergeltsten
illoyal	illoyaler	illoyalsten
bravourös	bravouröser	bravourösesten
effizient	effizienter	effizientesten
ineffizient	ineffizienter	ineffizientesten
sprunghaft	sprunghafter	sprunghaftesten
sprunghaft	sprunghafter	sprunghaftesten
vollbusig	vollbusiger	vollbusigsten
vollbusig	vollbusiger	vollbusigsten
bieder	biederer	biedersten
unbarmherzig	unbarmherziger	unbarmherzigsten
beklagenswert	beklagenswerter	beklagenswertesten
begierig	begieriger	begierigsten
freudig	freudiger	freudigsten
freudig	freudiger	freudigsten
erfreulich	erfreulicher	erfreulichsten
spektakulär	spektakulärer	spektakulärsten
gleichförmig	gleichförmiger	gleichförmigsten
frenetisch	frenetischer	frenetischsten
abgewirtschaftet	abgewirtschafteter	abgewirtschaftetsten
dramatisch	dramatischer	dramatischsten
infam	infamer	infamsten
erschwinglich	erschwinglicher	erschwinglichsten
unbeschwert	unbeschwerter	unbeschwertesten
borniert	bornierter	borniertesten
zügellos	zügelloser	zügellosesten
maßlos	maßloser	maßlosesten
maßlos	maßloser	maßlosesten
pragmatisch	pragmatischer	pragmatischsten
adäquat	adäquater	adäquatesten
versiert	versierter	versiertesten
verbrecherisch	verbrecherischer	verbrecherischsten
verbrecherisch	verbrecherischer	verbrecherischsten
utopisch	utopischer	utopischsten
besorgniserregend	besorgniserregender	besorgniserregendsten
schwerwiegend	schwerwiegender	schwerwiegendsten
kurzlebig	kurzlebiger	kurzlebigsten
unehrlich	unehrlicher	unehrlichsten
üppig	üppiger	üppigsten
widrig	widriger	widrigsten
pathetisch	pathetischer	pathetischsten
fortschrittlich	fortschrittlicher	fortschrittlichsten
fortschrittlich	fortschrittlicher	fortschrittlichsten
deplatziert	deplatzierter	deplatziertesten
prätentiös	prätentiöser	prätentiösesten
protzig	protziger	protzigsten
protzig	protziger	protzigsten
provokant	provokanter	provokantesten
halsbrecherisch	halsbrecherischer	halsbrecherischsten
gütlich	gütlicher	gütlichsten
abgehärtet	abgehärteter	abgehärtetesten
widerstandsfähig	widerstandsfähiger	widerstandsfähigsten
prononciert	prononcierter	prononciertesten
prononciert	prononcierter	prononciertesten
amateurhaft	amateurhafter	amateurhaftesten
beschwerlich	beschwerlicher	beschwerlichsten
verheerend	verheerender	verheerendsten
charismatisch	charismatischer	charismatischsten
obszön	obszöner	obszönsten
schmeichelhaft	schmeichelhafter	schmeichelhaftesten
dringlich	dringlicher	dringlichsten
dringlich	dringlicher	dringlichsten
maßvoll	maßvoller	maßvollsten
maßvoll	maßvoller	maßvollsten
atemberaubend	atemberaubender	atemberaubendsten
atemberaubend	atemberaubender	atemberaubendsten
freigiebig	freigiebiger	freigiebigsten
freigebig	freigebiger	freigebigsten
arbeitsam	arbeitsamer	arbeitsamsten
unfähig	unfähiger	unfähigsten
andächtig	andächtiger	andächtigsten
aufwändig	aufwändiger	aufwändigsten
aufwendig	aufwendiger	aufwendigsten
zeitaufwendig	zeitaufwendiger	zeitaufwendigsten
zeitaufwändig	zeitaufwändiger	zeitaufwändigsten
populistisch	populistischer	populistischsten
konfliktträchtig	konfliktträchtiger	konfliktträchtigsten
konfliktträchtig	konfliktträchtiger	konfliktträchtigsten
langwierig	langwieriger	langwierigsten
hinderlich	hinderlicher	hinderlichsten
hinderlich	hinderlicher	hinderlichsten
deutlich	deutlicher	deutlichsten
adrett	adretter	adrettesten
leichtsinnig	leichtsinniger	leichtsinnigsten
waghalsig	waghalsiger	waghalsigsten
spukhaft	spukhafter	spukhaftesten
spukhaft	spukhafter	spukhaftesten
weitsichtig	weitsichtiger	weitsichtigsten
kurzsichtig	kurzsichtiger	kurzsichtigsten
blitzartig	blitzartiger	blitzartigsten
zynisch	zynischer	zynischsten
eindeutig	eindeutiger	eindeutigsten
arglistig	arglistiger	arglistigsten
abgeschmackt	abgeschmackter	abgeschmacktesten
rasch	rascher	raschesten
wohlwollend	wohlwollender	wohlwollendsten
reaktionär	reaktionärer	reaktionärsten
altmodisch	altmodischer	altmodischsten
fürsorglich	fürsorglicher	fürsorglichsten
kapriziös	kapriziöser	kapriziösesten
spannend	spannender	spannendsten
flexibel	flexibler	flexibelsten
bedeutungslos	bedeutungsloser	bedeutungslosesten
bedeutungsvoll	bedeutungsvoller	bedeutungsvollsten
bedeutend	bedeutender	bedeutendsten
vorsichtig	vorsichtiger	vorsichtigsten
introvertiert	introvertierter	introvertiertesten
extrovertiert	extrovertierter	extrovertiertesten
extravertiert	extravertierter	extravertiertesten
heldenhaft	heldenhafter	heldenhaftesten
heldenhaft	heldenhafter	heldenhaftesten
heroisch	heroischer	heroischsten
redegewandt	redegewandter	redegewandtesten
redegewandt	redegewandter	redegewandtesten
akzeptabel	akzeptabeler	akzeptabelsten
klotzig	klotziger	klotzigsten
klotzig	klotziger	klotzigsten
lebensmüde	lebensmüder	lebensmüdesten
lebensmüde	lebensmüder	lebensmüdesten
gerissen	gerissener	gerissensten
wachsam	wachsamer	wachsamsten
zaghaft	zaghafter	zaghaftesten
systematisch	systematischer	systematischsten
kaufkräftig	kaufkräftiger	kaufkräftigsten
kaufkräftig	kaufkräftiger	kaufkräftigsten
gastfreundlich	gastfreundlicher	gastfreundlichsten
kräftig	kräftiger	kräftigsten
konsequent	konsequenter	konsequentesten
anpassungsfähig	anpassungsfähiger	anpassungsfähigsten
anpassungsfähig	anpassungsfähiger	anpassungsfähigsten
neurotisch	neurotischer	neurotischsten
lüstern	lüsterner	lüsternsten
ergonomisch	ergonomischer	ergonomischsten
solidarisch	solidarischer	solidarischsten
temperamentvoll	temperamentvoller	temperamentvollsten
temperamentvoll	temperamentvoller	temperamentvollsten
prestigeträchtig	prestigeträchtiger	prestigeträchtigsten
prestigeträchtig	prestigeträchtiger	prestigeträchtigsten
unvergesslich	unvergesslicher	unvergesslichsten
vergesslich	vergesslicher	vergesslichsten
teuflisch	teuflischer	teuflischsten
sonnig	sonniger	sonnigsten
wohlhabend	wohlhabender	wohlhabendsten
rätselhaft	rätselhafter	rätselhaftesten
sommerlich	sommerlicher	sommerlichsten
winterlich	winterlicher	winterlichsten
frühlingshaft	frühlingshafter	frühlingshaftesten
untertänig	untertäniger	untertänigsten
realistisch	realistischer	realistischsten
verschwommen	verschwommener	verschwommensten
exhibitionistisch	exhibitionistischer	exhibitionistischsten
exhibitionistisch	exhibitionistischer	exhibitionistischsten
geistreich	geistreicher	geistreichsten
geistreich	geistreicher	geistreichsten
schlüssig	schlüssiger	schlüssigsten
picklig	pickliger	pickligsten
picklig	pickliger	pickligsten
gehorsam	gehorsamer	gehorsamsten
fruchtbar	fruchtbarer	fruchtbarsten
antiquiert	antiquierter	antiquiertesten
willig	williger	willigsten
nachhaltig	nachhaltiger	nachhaltigsten
auffällig	auffälliger	auffälligsten
skizzenhaft	skizzenhafter	skizzenhaftesten
parteiisch	parteiischer	parteiischsten
impulsiv	impulsiver	impulsivsten
unglücklich	unglücklicher	unglücklichsten
schneidig	schneidiger	schneidigsten
intim	intimer	intimsten
verpönt	verpönter	verpöntesten
überheblich	überheblicher	überheblichsten
hochmütig	hochmütiger	hochmütigsten
traumatisch	traumatischer	traumatischsten
grauenhaft	grauenhafter	grauenhaftesten
grausig	grausiger	grausigsten
grausig	grausiger	grausigsten
wankelmütig	wankelmütiger	wankelmütigsten
unbeständig	unbeständiger	unbeständigsten
enthaltsam	enthaltsamer	enthaltsamsten
schutzlos	schutzloser	schutzlosesten
psychopatisch	psychopatischer	psychopatischsten
psychopatisch	psychopatischer	psychopatischsten
schokoladig	schokoladiger	schokoladigsten
schokoladig	schokoladiger	schokoladigsten
cremig	cremiger	cremigsten
cremig	cremiger	cremigsten
töricht	törichter	törichtsten
regnerisch	regnerischer	regnerischsten
blutrünstig	blutrünstiger	blutrünstigsten
blutrünstig	blutrünstiger	blutrünstigsten
ungestört	ungestörter	ungestörtesten
ungestört	ungestörter	ungestörtesten
unanständig	unanständiger	unanständigsten
herzlich	herzlicher	herzlichsten
pfundig	pfundiger	pfundigsten
ungehorsam	ungehorsamer	ungehorsamsten
abgelegen	abgelegener	abgelegensten
abträglich	abträglicher	abträglichsten
mondsüchtig	mondsüchtiger	mondsüchtigsten
voluminös	voluminöser	voluminösesten
voluminös	voluminöser	voluminösesten
schießwütig	schießwütiger	schießwütigsten
spaßig	spaßiger	spaßigsten
verwundbar	verwundbarer	verwundbarsten
unstet	unsteter	unstetsten
verletzlich	verletzlicher	verletzlichsten
faszinierend	faszinierender	faszinierendsten
kontrolliert	kontrollierter	kontrolliertesten
anarchisch	anarchischer	anarchischesten
reinrassig	reinrassiger	reinrassigesten
programmierbar	programmierbarer	programmierbarsten
programmierbar	programmierbarer	programmierbarsten
üblich	üblicher	üblichsten
unüblich	unüblicher	unüblichsten
lesbar	lesbarer	lesbarsten
ambitioniert	ambitionierter	ambitioniertesten
gewieft	gewiefter	gewieftesten
faltbar	faltbarer	faltbarsten
faltbar	faltbarer	faltbarsten
verwendbar	verwendbarer	verwendbarsten
buchstäblich	buchstäblicher	buchstäblichsten
endlos	endloser	endlosesten
unwichtig	unwichtiger	unwichtigsten
enthusiastisch	enthusiastischer	enthusiastischsten
unfreundlich	unfreundlicher	unfreundlichsten
rechthaberisch	rechthaberischer	rechthaberischsten
renommiert	renommierter	renommiertesten
exaltiert	exaltierter	exaltiertesten
pfiffig	pfiffiger	pfiffigsten
degoutant	degoutanter	degoutantesten
sorglos	sorgloser	sorglosesten
aufmüpfig	aufmüpfiger	aufmüpfigsten
gut besser besten

